"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ATOS","Action salon de l'Humour 2007",13108.24,13108.24,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ATOS","Salon de l'Humour de St Just Le Martel 2008",16618.44,13405.96,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ATULAM","Acquisition de matériels",1335314,133531.4,"FEDER ","LIMOUSIN","CREUSE / GUERET / JARNAGES / JARNAGES","Compétitivité régionale - FEDER - Limousin",,
"ATULAM","Etude des performances acoustiques et thermiques des menuiseries",32100,8025,"FEDER ","LIMOUSIN","CREUSE / GUERET / JARNAGES / JARNAGES","Compétitivité régionale - FEDER - Limousin",,
"ATULAM","Recrutement d'un cadre ressources humaines",43756,10939,"FEDER ","LIMOUSIN","CREUSE / GUERET / JARNAGES / JARNAGES","Compétitivité régionale - FEDER - Limousin",,
"AURA PLASTIC","Acquisition de matériels productifs (tampographie)",209617,15721.27,"FEDER ","LIMOUSIN","HAUTE-VIENNE / ROCHECHOUART / SAINT-JUNIEN-EST / ORADOUR-SUR-GLANE","Compétitivité régionale - FEDER - Limousin","8","Autres investissements en entreprises"
"AVRUL","Accompagnement de porteurs de projet de création d'entreprise innovante - 2ème semestre 2008",246275,66425,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","1","Activités R&DT dans centres de recherche"
"AVRUL","Animation 2009 - Département Incubateur",492550,132850,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AVRUL","Argiles plastiques",73482,18370.5,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AVRUL","CADMOS 40",103842,51060,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin","1","Activités R&DT dans centres de recherche"
