"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","Nadja Meyer Agentur für Floristik & Raumgestaltung","Verbundausbildung, Kunden- und Verkaufgespräche, Unterweisung im Pflanzenrecht usw. ",2008,960.00,
"B","Niederlausitzer Kreishandwerkerschaft ","Verbundausbildung Prüfen, Vorbereiten und Bearbeiten von Untergründen für Bodenbelagsarbeiten, Behandeln von Oberflächen im Wand- und Deckenbereich, Gestalten und Verlegen von Bodenbelägen, Instandsetzen von Polstermöbeln und Herstellen von Polstern, Entwickeln und Gestalten von Raumsituationen usw. ",2008,2760.00,
"B","OHST Medizintechnik AG ","Metallgrundausbildung, CNC-Fachausbildung",2008,10300.00,
"B","OSR Messe- und Veranstaltungsservice","Kaufmännische Ausbildung (Themen laut Ausbildungsordnung)",2008,1500.00,
"B","OSR Messe- und Veranstaltungsservice","Verbundausbildung, Einrichten und Prüfen von Geräten und Anlagen, Herstellen von Bild- und Tonaufnahmen",2008,500.00,
"B","OSR Messe- und Veranstaltungsservice","Verbundausbildung, Themen laut Ausbildungsrahmenplan ""Mediengestalter Bild und Ton 3. Lehrjahr""",2008,1400.00,
"B","Panta Rhei gGmbH ","Casa - Netzwerk der Nachwuchsförderung",2008,281000.00,
"B","Papierfabrik Hamburger-Spremberg GmbH & Co. KG","Kernqualifikationen 1. Lehrjahr laut Ausbildungsordnung",2008,10200.00,
"B","Papierfabrik Hamburger-Spremberg GmbH & Co. KG","Mechatroniker nach Ausbildungsrahmenplan",2008,6800.00,
"B","PCK Raffinerie GmbH ","Ausbildung Demontage, Wartung und Montage von Pumpen",2008,6400.00,
"B","PCK Raffinerie GmbH ","Ausbildung Demontage, Wartung und Montage von Wärmetauschern und Armaturen",2008,2400.00,
"B","Pferdezuchtverband Brandenburg-Anhalt eV ","Lehrgänge zur überbetrieblichen Ausbildung im Rahmen der beruflichen Erstausbildung im Agrarbereich Pferdewirte - Zucht und Haltung",2008,11220.00,
"B","Pferdezuchtverband Brandenburg-Anhalt eV ","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Pferdewirte Zucht und Haltung",2008,21165.00,
"B","Pferdezuchtverband Brandenburg-Anhalt eV ","Lehrgänge zur überbetrieblichen Ausbildung in der Landwirtschaft: Pferdewirte Zucht und Haltung",2008,22950.00,
"B","Pictum GmbH ","Beschichtungstechnik Grundausbildung Lackierer",2008,3000.00,
"B","Produktentwicklungs-, Initiativ- und Lehrzentrum Finsterwalde/Lausitz GmbH","Erstausbildung im Beruf Konstruktionsmechaniker Stahl- und Metallbau",2008,23800.00,
"B","Produktentwicklungs-, Initiativ- und Lehrzentrum Finsterwalde/Lausitz GmbH","Ausbildung Zerspanungsmechaniker Drehtechnik",2008,3400.00,
"B","Produktentwicklungs-, Initiativ- und Lehrzentrum Finsterwalde/Lausitz GmbH","Ausbildung Zerspanungsmechaniker Fräsmaschinensysteme",2008,12000.00,
"B","Produktentwicklungs-, Initiativ- und Lehrzentrum Finsterwalde/Lausitz GmbH","Zerspanungsmechaniker Drehtechnik 2. und 3. Ausbildungsjahr ",2008,12800.00,
"B","Produktentwicklungs-, Initiativ- und Lehrzentrum Finsterwalde/Lausitz GmbH","Verbundausbildung Grundbegriffe des Schweißens, z.B. WIG Schweißen bzw. CO2 Schweißen",2008,,800.00
"B","Produktentwicklungs-, Initiativ- und Lehrzentrum Finsterwalde/Lausitz GmbH","Verbundausbildung, Grundlagen im Bereich der Elektropneumatik",2008,600.00,
"B","QCW GmbH Eisenhüttenstadt","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,247572.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Grundlagenbildung im Metallberuf und Elektroberuf",2008,8680.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung. Modulare Grundlagenbildung im Metallberuf",2008,2740.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung. Modulare Grundlagenbildung und Fachausbildung im Metall- und Elektroberuf",2008,16980.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung Modulare Grundlagen- und Fachausbildung im Metallberuf",2008,5060.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Grundlagen- und Fachausbildung im Metallberuf",2008,4440.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Fachausbildung im Metallberuf",2008,12000.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Grundlagen- und Fachausbildung im Metallberuf/Mechatroniker",2008,6120.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Fachausbildung im Elektroberuf",2008,4720.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Fachausbildung im Beruf Mechatroniker",2008,1220.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Fachausbildung im Beruf Mechatroniker",2008,700.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Grundlagen- und Fachausbildung im Metallberuf",2008,9900.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Grundlagen- und Fachausbildung im Beruf Metall und Mechatroniker",2008,4480.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Ausbildung modulare Grundlagenbildung im kaufmännischen Beruf",2008,1635.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Fachausbildung im Metallberuf",2008,5240.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Fachausbildung im Metallberuf",2008,2560.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Grund- und Fachausbildung im Beruf Fachkraft für Trink- u. Abwassertechnik",2008,2000.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Grundlagenausbildung im Berufsfeld Metall",2008,2780.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung modulare Grundlagenbildung im Beruf Industriemechaniker",2008,2780.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung modulare Grundlagenbildung im Beruf Industriemechaniker",2008,2780.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung modulare Grundlagenbildung im Beruf Anlagenmechaniker",2008,2340.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung modulare Grundlagenbildung im Beruf Industriemechaniker",2008,2780.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Grundlagen- und Fachausbildung im Beruf Elektrotechnik und Metall",2008,5680.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Modulare Fachausbildung und Prüfungsvorbereitung im Beruf Bürokaufmann und Kaufmann für Bürokommunikation",2008,1065.00,
"B","QualifizierungsCentrum der Wirtschaft GmbH","Verbundausbildung, modulare Fachausbildung im Elektroberuf",2008,680.00,
"B","Qualifizierungsförderwerk Chemie GmbH","Ausbildungsplatzinitiative 2008 der Industriegewerkschaft Bergbau, Chemie, Energie in Trägerschaft der Qualifizierungsförderwerk Chemie GmbH",2008,270080.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Konstruktionsmechaniker",2008,5520.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Elektroniker",2008,24600.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Elektroniker",2008,25400.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Industriemechaniker",2008,23000.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Industriemechaniker",2008,25800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Konstruktionsmechaniker 4. Ausbildungsjahr",2008,1580.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Konstruktionsmechaniker",2008,1800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung/Konstruktionsmechaniker 3. Ausbildungsjahr",2008,1460.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung Elektroniker",2008,3260.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung Zerspanungsmechaniker 2. Ausbildungsjahr",2008,1800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung Konstruktionsmechaniker 1. Ausbildungsjahr",2008,1800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Grundlagenausbildung des 1. Lehrjahres- Analysieren von Funktionszusammenhängen in mechatronischen Systemen, Herstellen mechanischer Teilsysteme,  Installieren elektrischer Betriebsmittel, Untersuchen der Energie- und Informationsflüsse, Kommunizieren mit Hilfe von Datenverarbeitungssystemen",2008,6760.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für die Ausbildung zum Mechatroniker",2008,5240.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für die Ausbildung zum Mechatroniker",2008,20580.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Mechatroniker",2008,9320.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für die Ausbildung Elektroniker 2. Lehrjahr",2008,7320.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Elektroniker",2008,6480.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Werkzeugmechaniker 2. Lehrjahr",2008,700.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Aufbereitungsmechaniker 2 Lehrjahr",2008,700.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Industriemechaniker",2008,10480.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für die Ausbildungsberuf Industriemechaniker 2. Lehrjahr",2008,11180.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Industriemechaniker 4. Lehrjahr",2008,4800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Konstruktionsmechaniker 1. Ausbildungsjahr",2008,2660.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Konstruktionsmechaniker",2008,9360.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Konstruktionsmechaniker, 4 Lehrjahr",2008,1800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Industriekauffrau, 1. Lehrjahr",2008,840.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Industriekauffrau",2008,1170.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Elektroniker",2008,5360.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung für den Ausbildungsberuf Konstruktionsmechaniker",2008,5320.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufpraktische Ausbildung im Ausbildungsberuf Metallbauer",2008,2040.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Ausbildung im Ausbildungsberuf Mechatroniker",2008,4980.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Grundlagenausbildung des 1. Lehrjahres: Elektrotechnische Systeme analysieren und Funktion prüfen, Elektrische Installationen planen und ausführen, Steuerungen analysieren und anpassen, Informationstechnische Systeme bereitstellen ",2008,3080.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung von Ausbildungsinhalten des 1-3. Ausbildungsjahres zum Bauzeichner, welche in den Betrieben nicht vermittelt werden können",2008,5800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Berufspraktische Ausbildung zum Elektroniker für Energie und Gebäudetechnik",2008,300.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Verbundausbildung Mechatroniker 3. Ausbildungsjahr",2008,2260.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Lehrgang Gabelstapler",2008,1600.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Berufspraktische Verbundausbildung Konstruktionsmechaniker EG Schweißtechnik 1. Ausbildungsjahr",2008,1800.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Lehrgang Kommunikationstraining",2008,1400.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, berufspraktische Ausbildung Elektroniker Betriebstechnik",2008,2300.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Berufspraktische Ausbildung Bürokaufmann 2. Ausbildungsjahr",2008,750.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Berufspraktische Ausbildung für den Ausbildungsberuf Elektroniker für Energie- und Gebäudetechnik, 4. Lehrjahr",2008,300.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Vermittlung von Grundlagen und Ausbildungsinhalten lt. sachl.-zeitl. Gliederung",2008,1020.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Lehrgang Gabelstapler",2008,2000.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Berufspraktische Ausbildung für den Ausbildungsberuf Zerspanungsmechaniker 1. Lehrjahr",2008,4560.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Berufspraktische Ausbildung Elektroniker",2008,500.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Gabelstaplerlehrgang",2008,200.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, berufspraktische Ausbildung zum Holzmechaniker",2008,5000.00,
"B","RAG BILDUNG GmbH Bildungszentrum Fürstenwalde","Verbundausbildung, Berufspraktische Ausbildung für den Ausbildungsberuf Industriekauffrau 1. Lehrjahr",2008,450.00,
"B","Regionales Lernforum im Wirtschaftsraum zwischen Elbe und Elster e.V.","Verbundausbildung, Bildungsberatung im regionalen Wachstumskern Westlausitz",2008,13752.00,
"B","ReiCo Spedition GmbH & Co. KG ","Verbundausbildung, Kommissionierung und Lagerung von temperturgeführten Waren",2008,3000.00,
"B","ReiCo Spedition GmbH & Co. KG ","Verbundausbildung, Kommissionierung und Lagerung von tempertaurgeführten Waren",2008,2250.00,
"B","Relux-Brennstoffproduktion GmbH & Co. KG ","Komplette theoretische und praktische Ausbildung Mechatronik",2008,2200.00,
"B","Rittig / Ausbildungsleiter ","Verbundausbildung Zusatzqualifikation: Schweißerprüfung mit TÜV Zertifikat",2008,,1500.00
"B","Saint-Gobain Weber GmbH ","Ausbildung zum Mechatroniker",2008,3860.00,
"B","SC Potsdam e.V. ","Verbundausbildung von Teilbereichen der Ausbildungsfelder: 1. Ausbildungsjahr Beruf: Sport- und Fitnesskaufmann",2008,945.00,
"B","Scharmützelsee Schifffahrtsgesellschaft mbH","Verbundausbildung, Aufbau und Organisation des Ausbildungsbetriebes, Umgang mit Gästen, Beratung und Verkauf, Arbeiten am Tisch des Gastes, Ausrichten von Festlichkeiten/Veranstaltungen, Führen einer Station",2008,6045.00,
"B","Schule für Gesundheitsberufe e.V. ","Ausbildung von pharmazeutisch-technischen Assistenten",2008,357270.00,
"B","Schweriner Ausbildungszentrum e.V. ","Verbundausbildung fachliche Kompetenzen auf dem Gebiet der Kunststoff-, Werkzeug- und Steuerungstechnik",2008,6800.00,
"B","Schweriner Ausbildungszentrum e.V. ","Verbundausbildung fachliche Kompetenzen auf der Gebiet der Kunststoff-, Werkzeug- und Automatisierungstechnik",2008,14480.00,
"B","Siegfried Krienke Kälteanlagen ","Fachausbildung Technischer Zeichner",2008,2340.00,
"B","Siemens AG ","Ausbildung zum Elektroniker",2008,18860.00,
"B","SMB Rohrleitungsbau Wildau GmbH & Co.KG ","Verbundausbildung Technische Zeichnerin im 1. Ausbildungsjahr",2008,3000.00,
"B","so.tec gmbh ","Verbundausbildung, Fachinformatiker, Fachrichtung Systemintegration 2. Ausbildungsjahr: Geschäfts- und Leistungsprozesse",2008,2000.00,
"B","SOWI Strausberg GmbH","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,258336.00,
"B","SpreeGas Gesellschaft für Gasversorgung und Energiedienstleistung mbH","Vermittlung Kernqualifikationen für Ausbildung zum Anlagenmechaniker/Instandhaltung",2008,3480.00,
"B","SpreeGas Gesellschaft für Gasversorgung und Energiedienstleistung mbH","Verbundausbildung, Praktische Übungen im Rahmen der Vorbereitung auf die Abschlussprüfung Teil 2 Anlagenmechaniker/Instandhaltung",2008,960.00,
"B","Stadt Lübbenau/Spreewald","Verbundausbildung, Statistik, kaufmännisches EDV, Buchführung, Kostenrechnung, kaufmännische Steuerung und Kontrolle, Auftrags- und Rechnungsbearbeitung",2008,390.00,
"B","Stadt Senftenberg ","Verbundausbildung, Übernahme von Ausbildungsabschnitten",2008,2720.00,
"B","Stadt Senftenberg ","Verbundausbildung, Ausbildungsabschnitte, die durch den Ausbildungsbetrieb nicht vermittelt werden können",2008,675.00,
"B","Stadtverwaltung Cottbus FB Recht u. Verwaltungsmanagement","Verbundausbildung, fachpraktische Berufsausbildung Vermessungstechniker",2008,960.00,
"B","Stadtverwaltung Cottbus FB Recht u. Verwaltungsmanagement","Verbundausbildung, fachpraktische Berufsausbildung Vermessungstechniker",2008,1400.00,
"B","Stadtverwaltung Cottbus FB Recht u. Verwaltungsmanagement","Verbundausbildung, fachpraktische Berufsausbildung Vermessungstechniker",2008,1200.00,
"B","Stadtwerke Brandenburg an der Havel GmbH ","Fachausbildung, speicherprogrammierbare Steuerung, Baugruppen und Anlagenmontage, Schaltberechtigung",2008,1400.00,
"B","Stadtwerke Brandenburg an der Havel GmbH ","Ausbildung Einführung Werkstoffbearbeitung und Elektrotechnik, Kabelanlagen, Steuerungen Einbau Elektronik, Freileitungsanlagen",2008,2880.00,
"B","Stadtwerke Forst GmbH ","Ausbildung zur Fachkraft für Abwassertechnik / Wasserversorgungstechnik, Mechatroniker ",2008,6960.00,
"B","Stadtwerke Potsdam GmbH ","Verbundausbildung Lehrgang: Pneumatik - Hydraulik - Basis",2008,,1200.00
"B","Stadtwerke Potsdam GmbH ","Verbundausbildung, Lehrgang: SPS - Pneumatik - Basis",2008,,1200.00
"B","Stadtwerke Potsdam GmbH ","Verbundausbildung, Lehrgang: Steuerungstechnik - SPS - Aufbau",2008,,800.00
"B","Stadtwerke Potsdam GmbH ","Verbundausbildung, Lehrgang: CAD - Pneumatik - Maschineneinmesssysteme",2008,600.00,
"B","Stadtwerke Potsdam GmbH ","Verbundausbildung, Lehrgang: CNC Drehen - CNC Fräsen",2008,800.00,
