"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
"Petr Slezák",69740810,"První bobová dráha na jižní Moravě","ROP NUTS II Jihovýchod","ERDF",01/07/09,11326256,,0,"Ongoing"
"Petr Stiborek",63341603,"Sportovně-relaxační centrum Fit AURA","ROP NUTS II Moravskoslezsko","ERDF",05/11/08,4192371,10/12/09,3646244,"Ongoing"
"Petr Vaculík",11177675,"Přístavba a stavební úpravy haly na výrobu
nábytku","OP Podnikání a inovace","ERDF","24.03.2009",2226150,"19.02.2010",2226150,"Finalized"
"Petr Šiška",10575162,"Rekonstrukce areálu CONE Zlín ve Fryštáku","OP Podnikání a inovace","ERDF","20.07.2010",7533550,,0,"Ongoing"
"Petrast, a.s.",26906538,"Zvýšení znalostního potenciálu a profesionality
zaměstnanců","OP Lidské zdroje a zaměstnanost","ESF",01/09/09,981735,"18.03.2010",392693,"Ongoing"
"Pevnost-České centrum znakového
jazyka, o.s.",70840440,"Vyškolení neslyšících lektorů českého znakového
jazyka","OP Praha Adaptabilita","ESF","16.01.2009",5633993,"18.05.2010",4744912,"Ongoing"
"Pešl Jiří",,"Průmyslový vzor pro novou generaci papírových
obalů","OP Podnikání a inovace","ERDF","20.05.2009",91800,"14.01.2010",80470,"Finalized"
"PhDr. Lenka Mynářová - DATAMAR
OSTRAVA",48785415,"Datamar - Rozšíření aktivit na slovenském trhu a
vstup na polský trh","OP Podnikání a inovace","ERDF",02/08/08,420750,"25.11.2008",365794,"Finalized"
"PhDr. Vladimír ŠTEMBERA",48128473,"Solná jeskyně v centru Prahy","OP Praha Konkurenceschopnost","ERDF","15.10.2009",2167596,,0,"Finalized"
"Piccola - M s.r.o.",47680865,"Zkvalitnění metod a způsobů řízení zvýšením
úrovně podnikové informatiky.","OP Podnikání a inovace","ERDF","23.12.2008",1530000,"20.04.2009",1521301,"Finalized"
"Pila Dětřichov, spol. s r.o.",43960391,"Automatizace pilařského provozu","OP Podnikání a inovace","ERDF","18.05.2010",4845000,,0,"Ongoing"
"Pila MSK, a.s.",47677961,"Informační systém - Pila MSK","OP Podnikání a inovace","ERDF","28.07.2008",1640500,"22.10.2008",1513046,"Finalized"
"Pila MSK, a.s.",47677961,"Vzdělávání zaměstnanců PILA MSK, a.s. pro
zvýšení jejich adaptability","OP Lidské zdroje a zaměstnanost","ESF","31.07.2009",1283063,"15.12.2009",513225,"Ongoing"
"Pila Tetčice, a.s.",25351591,"Rekonstrukce tepelného hospodářství Tetčice","OP Podnikání a inovace","ERDF","29.10.2008",5100000,,0,"Ongoing"
"Pionýr",499161,"Klíčení","OP Vzdělávání pro
konkurenceschopnost","ESF",01/03/10,12237796,03/05/10,4895119,"Ongoing"
"Pivovar FERDINAND a.s.",27202658,"Rozšíření exportních aktivit společnosti Pivovar
FERDINAND a.s.","OP Podnikání a inovace","ERDF",04/08/08,136000,,0,"Cancelled"
"Pivovar HOLBA, a.s.",64610276,"MUZEUM HISTORIE PIVOVARNICTVÍ V
HANUŠOVICÍCH","ROP NUTS II Střední Morava","ERDF","27.02.2009",6562000,"22.04.2010",2110772,"Ongoing"
"Pivovar HOLBA, a.s.",64610276,"Rekonstrukce objektu pro umístnění přetlačných a
ležáckých tanků","OP Podnikání a inovace","ERDF","18.06.2010",5745150,,0,"Ongoing"
"Pivovar Janáček, a.s.",60742917,"Využití odpadního kondenzátního tepla a
rekonstrukce tepelného systému","OP Podnikání a inovace","ERDF","13.10.2008",2584000,06/10/09,2278000,"Ongoing"
"Pivovar Janáček, a.s.",60742917,"Úspory energií v technologickém procesu a
zateplení administrativní budovy","OP Podnikání a inovace","ERDF","24.11.2009",5100000,,0,"Ongoing"
"Pivovar Nová Paka a.s.",49241290,"marketingové propagační materiály","OP Podnikání a inovace","ERDF","30.07.2008",157250,10/09/08,157250,"Finalized"
"Pivovar ZUBR a.s.",47676906,"Investice do rozšíření výrobních kapacit
společnosti.","OP Podnikání a inovace","ERDF",08/12/09,19645200,,0,"Ongoing"
"Pivovar ZUBR a.s.",47676906,"Modernizace chladícího systému v Pivovaru ZUBR","OP Podnikání a inovace","ERDF",10/11/09,3456100,,0,"Ongoing"
"Pivovar Černá Hora, a.s.",25310887,"Hotel Sladovna","ROP NUTS II Jihovýchod","ERDF",06/10/08,42500000,"19.07.2010",13573010,"Ongoing"
"Pivovary Staropramen a.s.",45273693,"Vzdělávání zaměstnanců společnosti Pivovary
Staropramen a.s. ke zvýšení jejich kvalifikace,
profesní mobility a adaptability","OP Lidské zdroje a zaměstnanost","ESF","30.10.2009",6067547,"23.03.2010",2427019,"Ongoing"
"Plastic Parts & Technology s.r.o.",25971689,"Inovace výroby přesných vícedutinových forem
pro obalový a medicínský průmysl","OP Podnikání a inovace","ERDF","13.10.2009",19035750,,0,"Ongoing"
"Plastikářský klastr",75074141,"Plastikářský klastr","OP Podnikání a inovace","ERDF","21.10.2009",5073650,,0,"Ongoing"
"Plastkon product s.r.o.",63321289,"Dodávka komplexního podnikového informačního
systému","OP Podnikání a inovace","ERDF","27.07.2009",1062500,"17.09.2009",1062500,"Finalized"
"Plastkon product s.r.o.",63321289,"Rozšíření stávajících exportních aktivit na
evropských trzích","OP Podnikání a inovace","ERDF","23.10.2008",807500,"20.03.2009",730790,"Finalized"
"Plastkon product s.r.o.",63321289,"Technologický rozvoj firmy Plastkon product s.r.o.","OP Podnikání a inovace","ERDF","18.05.2010",12728750,"25.06.2010",3344750,"Ongoing"
"Plastkon product s.r.o.",63321289,"Zavedení inovace samozavlažovacího systému při
využití upravených materiálů do výrobního
sortimentu","OP Podnikání a inovace","ERDF","26.07.2010",9264150,,0,"Ongoing"
"Plastové Přepravní Obaly s.r.o.",60713445,"Posílení exportu 2007","OP Podnikání a inovace","ERDF",10/09/08,697000,01/12/08,248031,"Finalized"
"Plastové Přepravní Obaly s.r.o.",60713445,"Rozšíření výroby o nové fixace","OP Podnikání a inovace","ERDF",07/08/08,5105950,08/12/09,4627148,"Finalized"
"Plastové Přepravní Obaly s.r.o.",60713445,"Zavedení IS ve firmě PPobaly","OP Podnikání a inovace","ERDF","13.11.2008",1700000,02/04/09,1609492,"Finalized"
"Plzeňské městské dopravní podniky,
a.s.",25220683,"Komplexní řízení prostředků veřejné dopravy v
Plzni - I.etapa: Dynamický dispečink PMDP","ROP NUTS II Jihozápad","ERDF",05/09/08,8500000,,0,"Ongoing"
"Plzeňské městské dopravní podniky,
a.s.",25220683,"Nákup trolejbusů a modernizace tramvají","ROP NUTS II Jihozápad","ERDF","27.05.2010",102048845,,0,"Ongoing"
"Plzeňský kraj",70890366,"Analýzy rizik pro vybrané lokality v Plzeňském
kraji","OP Životní prostředí","CF",07/05/10,6100440,"18.06.2010",351149,"Ongoing"
"Plzeňský kraj",70890366,"Implementace a péče o území soustavy Natura
2000 v Plzeňském kraji","OP Životní prostředí","ERDF","26.08.2009",3858120,"20.04.2010",2225270,"Ongoing"
"Plzeňský kraj",70890366,"Informační kampaň a publicita OP VK v
Plzeňském kraji","OP Vzdělávání pro
konkurenceschopnost","ESF",12/08/08,850000,"25.03.2010",555490,"Ongoing"
"Plzeňský kraj",70890366,"Komplexní propagace Plzeňského kraje","ROP NUTS II Jihozápad","ERDF","15.09.2008",16785205,"20.02.2009",5158405,"Ongoing"
"Plzeňský kraj",70890366,"Krok do života 1","OP Lidské zdroje a zaměstnanost","ESF","24.05.2010",8359391,"25.06.2010",1253909,"Ongoing"
"Plzeňský kraj",70890366,"Podpora sociálních služeb v Plzeňském kraji","OP Lidské zdroje a zaměstnanost","ESF","24.03.2010",234925933,"14.04.2010",23492593,"Ongoing"
"Plzeňský kraj",70890366,"Zajištění implementace a realizace OP VK v
Plzeňském kraji","OP Vzdělávání pro
konkurenceschopnost","ESF",12/08/08,10200000,"25.03.2010",8450882,"Ongoing"
"Plzeňský kraj",70890366,"Zkvalitnění a rozšíření služeb Mezinárodního
informačního centra na hraničním přechodu
Rozvadov","ROP NUTS II Jihozápad","ERDF","15.09.2008",2836997,,0,"Ongoing"
"Plzeňský kraj",70890366,"Zkvalitnění turistického portálu Plzeňského kraje","ROP NUTS II Jihozápad","ERDF","29.01.2009",3452700,,0,"Ongoing"
"Plzeňský kraj",70890366,"Zvýšení absorpční kapacity OP VK v Plzeňském
kraji","OP Vzdělávání pro
konkurenceschopnost","ESF","19.09.2008",1352796,09/04/10,384661,"Ongoing"
"Plzeňský kraj",70890366,"Zvýšení kvality řízení na Krajském úřadě
Plzeňského kraje","OP Lidské zdroje a zaměstnanost","ESF","31.05.2010",14072388,,0,"Ongoing"
"Plzeňský kraj",70890366,"Územně analytické podklady Plzeňského kraje","Integrovaný operační program","ERDF","27.04.2009",935000,"15.07.2009",930580,"Finalized"
"Plzeňský lesprojekt, a.s.",25202448,"Inovace procesů ve firmě Plzeňský lesprojekt","OP Podnikání a inovace","ERDF",07/09/09,127500,03/03/10,127500,"Finalized"
"PoVI, s.r.o.",27472388,"Řemeslo má zlaté dno a čisté ruce","OP Vzdělávání pro
konkurenceschopnost","ESF","26.11.2008",8919565,"16.06.2010",3981137,"Ongoing"
"Pobočka České společnosti
ornitologické na Vysočině",75107988,"Úpravy ostrůvků v PP Černíč","OP Životní prostředí","ERDF",04/11/09,264690,,0,"Ongoing"
"Podhoran Černíkov a.s.",47718951,"Inovace Neurazy","OP Podnikání a inovace","ERDF",01/07/10,23459150,,0,"Ongoing"
"Podhoran Černíkov a.s.",47718951,"Úspory Černíkov","OP Podnikání a inovace","ERDF","15.04.2010",2028950,,0,"Ongoing"
"Podještědské gymnázium, s.r.o.",46708812,"Školní kariérové centrum","OP Vzdělávání pro
konkurenceschopnost","ESF","30.09.2009",2072052,07/07/10,887343,"Ongoing"
"Podještědský FC Český Dub",46746412,"Fotbal Camp Euroregion Nisa 2009","OP ČR - Polsko","ERDF","27.04.2009",16659,,0,"Ongoing"
"Podještědský FC Český Dub",46746412,"Fotbal Cup Euroregion Nisa 2009","OP ČR - Polsko","ERDF","27.04.2009",12637,,0,"Ongoing"
"Podkrušnohorský zoopark Chomutov,
příspěvková organizace",379719,"Revitalizace Kamenného rybníku","OP Životní prostředí","ERDF",10/04/09,3267854,"13.05.2010",3267854,"Finalized"
"Podnikatelský klub Broumovska",26643324,"Motivace žáků základních škol pro přípravu na
budoucí povolání","OP Vzdělávání pro
konkurenceschopnost","ESF","31.07.2009",3274506,04/02/10,764398,"Ongoing"
"Podnikatelský svaz pekařů a cukrářů
v České republice",15270106,"Moderní pekař a cukrář 21. století","OP Lidské zdroje a zaměstnanost","ESF","14.08.2009",4172744,"18.03.2010",1669097,"Ongoing"
"Podnikatelský svaz pekařů a cukrářů
v České republice",15270106,"Vzděláváním k prosperitě pekařů v ČR","OP Lidské zdroje a zaměstnanost","ESF","30.11.2009",7954851,"19.04.2010",3181940,"Ongoing"
"Podravka - Lagris a.s.",25510487,"Osobnostní rozvoj a zvyšování adaptability ve
společnosti Podravka - Lagris a.s.","OP Lidské zdroje a zaměstnanost","ESF","31.05.2010",5021984,12/07/10,1004397,"Ongoing"
"Podřipská nemocnice s poliklinikou
Roudnice n. L., s.r.o.",25443801,"Zvyšování odborných znalostí a kompetencí
zaměstnanců PNsP, s.r.o.","OP Lidské zdroje a zaměstnanost","ESF","22.12.2009",2941651,"24.05.2010",1176660,"Ongoing"
"Pogotowie Ratunkowe w Jeleniej
Górze","00108245
4","Organizacja konferencji ""Funkcjonowanie
Ratownictwa na obszarze Euroregionu Nysa""","OP ČR - Polsko","ERDF","18.02.2009",16663,,0,"Finalized"
"Pokorný - Sítě s.r.o.",26029880,"Marketingová strategie a podpora exportu","OP Podnikání a inovace","ERDF","27.10.2008",203150,11/05/09,176097,"Finalized"
"Pokorný-Sítě s.r.o.",26029880,"Vnitropodnikový výrobní informační systém","OP Podnikání a inovace","ERDF","24.08.2009",476000,,0,"Ongoing"
"Polfin Ploština, s.r.o.",25530283,"Nákup svařovacích automatů pro strojírenskou
výrobu firmy Polfin Ploština","OP Podnikání a inovace","ERDF","19.06.2008",2337500,03/02/09,1746836,"Finalized"
"Polfin Ploština, s.r.o.",25530283,"Pořízení automatizovaných vyfukovacích strojů
na výrobu dutých plastových obalů","OP Podnikání a inovace","ERDF","25.01.2010",6587500,"14.04.2010",3078173,"Ongoing"
"Poličské strojírny a.s.",46504851,"Opatření na úsporu energií v areálu Poličských
strojíren","OP Podnikání a inovace","ERDF",01/02/10,15502300,,0,"Ongoing"
"Poličské strojírny a.s.",46504851,"Zavedení výroby zdviže pro nástup tělesně
postižených do prostředků veřejné dopravy","OP Podnikání a inovace","ERDF","14.06.2010",4080000,,0,"Ongoing"
"Polovina nebe",27035271,"Duhový most - program vzdělávání
talentovaných jedinců z řad tělesně
hendikepovaných na vzorovém pracovišti
využívající hlasové technologie (počítačové
rozpoznávání řeči)","OP Praha Adaptabilita","ESF","16.02.2010",4149357,"14.06.2010",1479489,"Ongoing"
"PolyComp, a.s.",25713051,"Inovace produktu a technologického procesu
výroby parních motorů","OP Podnikání a inovace","ERDF","13.01.2010",17828750,,0,"Ongoing"
"PolyComp, a.s.",25713051,"Výzkumné a vývojové centrum PolyComp","OP Podnikání a inovace","ERDF","19.10.2009",31246000,,0,"Ongoing"
"PolyPLASTY s.r.o.",62026381,"Inovace plastových prvků v silničních,
vodovodních a kanalizačních systémech spol.
PolyPLASTY s.r.o.","OP Podnikání a inovace","ERDF","16.07.2008",12473750,,0,"Ongoing"
"PolyPLASTY s.r.o.",62026381,"Zateplení a plynofikace průmyslové haly
společnosti PolyPLASTY s.r.o.","OP Podnikání a inovace","ERDF",09/09/08,4080000,"18.02.2010",3779614,"Ongoing"
"Polypress s.r.o.",26351731,"Nákup produkčího digitálního tiskového stroje a
vybavení oddělení knihařského zpracování","OP Podnikání a inovace","ERDF","14.04.2010",1785000,,0,"Ongoing"
"Polypress s.r.o.",26351731,"Zavedení moderního organizačního SW","OP Podnikání a inovace","ERDF","31.10.2008",594150,"27.04.2009",594150,"Finalized"
"Polytechna Consulting, a.s.",25053221,"Výuka angličtiny, němčiny, čínštiny a korejštiny
pro rozvoj cestovního ruchu v Praze","OP Praha Adaptabilita","ESF","18.02.2010",2904578,11/06/10,1200399,"Ongoing"
"Pontech s.r.o.",27977315,"Data communication server (DCS)? datový
komunikační server","OP Podnikání a inovace","ERDF","14.07.2010",4864550,,0,"Ongoing"
"Poradenství/Consultancy Tis Praha 
s.r.o.",26683326,"Rozvoj kreativity pro podnikání u žáků SŠ
Ústeckého kraje","OP Vzdělávání pro
konkurenceschopnost","ESF","17.12.2008",9813565,11/06/10,3576660,"Ongoing"
"Poradenství/Consultancy Tis Praha 
s.r.o.",26683326,"Vzdělávání lektorů a vzdělávání krizových
poradců pro rozpoznání a zvládnutí rizik spojených
s podnikáním","OP Vzdělávání pro
konkurenceschopnost","ESF","22.02.2010",7521928,"22.03.2010",1128289,"Ongoing"
"Poradna pro integraci, občanské
sdružení",67362621,"Základní kroky pro integraci cizinců","OP Lidské zdroje a zaměstnanost","ESF","14.04.2009",3941906,"13.05.2010",1308005,"Ongoing"
"Poradna pro občanství/Občanská a
lidská práva",70100691,"Začleňování romských rodin do společnosti","OP Lidské zdroje a zaměstnanost","ESF",09/03/09,8171228,"28.05.2010",3553540,"Ongoing"
"Poradna pro občanství/Občanská a
lidská práva",70100691,"Začleňování romských rodin v Ústeckém kraji","OP Lidské zdroje a zaměstnanost","ESF","22.02.2010",6780054,"21.06.2010",1136656,"Ongoing"
"Porgest, a.s.",26844508,"Porgest, a.s. - rekonstrukce a přístavba montážní
haly","OP Podnikání a inovace","ERDF",08/12/09,10178750,,0,"Ongoing"
"Porgest, a.s.",26844508,"Systematickým vzděláváním ke zvýšení
konkurenceschopnosti společnosti Porgest, a.s.","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",2288024,"18.03.2010",915209,"Ongoing"
"Portaflex s.r.o.",25386115,"Pohybový mechanismus průchozí zástěny","OP Podnikání a inovace","ERDF","20.05.2009",68850,02/10/09,49725,"Finalized"
"Poski.com s.r.o.",27791505,"Realizace vzdělávacích aktivit pro zaměstnance
společnosti Poski.com s.r.o.","OP Lidské zdroje a zaměstnanost","ESF",01/09/09,502844,08/03/10,201137,"Ongoing"
"Posázaví o.p.s.",27129772,"Multimediálně z domova i kanceláře do Posázaví - 
2. etapa","ROP NUTS II Střední Čechy","ERDF",10/11/09,4630888,"23.06.2010",3749957,"Ongoing"
"Povltavské mlékárny, a. s.",45147639,"Efektivní vzdělávání, osobnostní rozvoj a zvýšení
adaptability zaměstnanců Povltavské mlékárny,
a.s. v době hospodářské krize.","OP Lidské zdroje a zaměstnanost","ESF","13.11.2009",4477905,"13.05.2010",1791162,"Ongoing"
"Povltavské mlékárny, a. s.",45147639,"Vzdělávání zaměstnanců Povltavských mlékáren,
a.s. v odbornostech potřebných pro zajištění
kvality výroby a procesů v podniku.","OP Lidské zdroje a zaměstnanost","ESF",06/05/10,3793727,,0,"Ongoing"
"Povodí Labe, státní podnik",70890005,"Podklady pro následnou realizaci přírodě blízkých
protipovodňových opatření v povodí Dědiny","OP Životní prostředí","CF","31.03.2010",4031720,,0,"Ongoing"
"Povodí Labe, státní podnik",70890005,"VD Turnov, výstavba rybího přechodu","OP Životní prostředí","ERDF",11/03/10,11979613,"17.06.2010",213350,"Ongoing"
"Povodí Moravy, s.p.",70890013,"Velička, km 20,360-23,444 - revitalizace toku","OP Životní prostředí","ERDF",10/08/09,18170949,"19.04.2010",18170949,"Ongoing"
"Povodí Odry, státní podnik",70890021,"Projekt modernizace monitorovacího systému
vodohospodářského dispečinku Povodí Odry,
státní podnik","OP Životní prostředí","CF","27.05.2010",7888281,,0,"Ongoing"
"Povodí Odry, státní podnik",70890021,"Studie vyhodnocení a zvládání povodňových rizik
na řece Odře v úseku Bohumín-Polanka","OP Životní prostředí","CF","24.11.2009",1572500,,0,"Ongoing"
"Povodí Ohře, státní podnik",70889988,"Odstranění antropogenního znečištění říčních
sedimentů v rámci sanace Bouřlivého potoka a
Bíliny - Průzkum a analýza rizika","OP Životní prostředí","CF","26.04.2010",855843,,0,"Ongoing"
"Povodí Ohře, státní podnik",70889988,"Revitalizace Dlouhé Stoky II.etapa,
ř.km.16,710-19,480","OP Životní prostředí","ERDF",10/11/09,2537706,01/04/10,2537706,"Finalized"
"Povodí Ohře, státní podnik",70889988,"Zvýšení ochrany sídel v povodí Ploučnice před
povodněmi - studie proveditelnosti","OP Životní prostředí","CF","27.05.2010",4802500,,0,"Ongoing"
"Powiat   Prudnicki","53142102
9","Tradiční česko polská kuchyně v Euroregionu
Praděd - příblížení vzdělávací nabídky
partnerských škol v Prudníku a v Městě
Albrechticích","OP ČR - Polsko","ERDF","13.02.2009",127086,,0,"Ongoing"
"Powiat Brzeski","53141244
4","Europejskie Targi Chłopskie - Krzyżowice 2008","OP ČR - Polsko","ERDF",11/12/08,16023,,0,"Finalized"
"Powiat Brzeski","53141244
4","Święto Powiatu Brzeskiego - Noc Świętojańska","OP ČR - Polsko","ERDF",05/01/10,21271,,0,"Ongoing"
"Powiat Cieszyn","07218171
2","Pakiet wydawniczy Śląska Cieszyńskiego -
promocja regionu","OP ČR - Polsko","ERDF",12/01/10,23894,,0,"Ongoing"
"Powiat Cieszyński","07218171
2","Droga Książęca - Via Ducalis - poszerzenie
produktu turystycznego","OP ČR - Polsko","ERDF","20.04.2010",21700,,0,"Ongoing"
"Powiat Cieszyński","07218171
2","Kampania Promocyjna Śląska Cieszyńskiego","OP ČR - Polsko","ERDF",12/01/10,25205,,0,"Ongoing"
"Powiat Cieszyński","07218171
2","Posilování komunikační dostupnosti Cieszyna a
Českého Těšína","OP ČR - Polsko","ERDF",06/03/09,4286788,,0,"Ongoing"
"Powiat Dzierżoniowski","89-0717-8","Współpraca szkół srednich w zakresie kształcenia
uczniów - Zespół Szkół Nr1","OP ČR - Polsko","ERDF","21.01.2009",15045,,0,"Ongoing"
"Powiat Głubczycki","53141246
7","Trójkąt Krnovsko - Opavsko - Głubczycki.
Ciekawostki turystyczne pogranicza polsko -
czeskiego.","OP ČR - Polsko","ERDF","31.03.2009",4143,,0,"Ongoing"
"Powiat Jeleniogórski","23082149
2","""Festiwal Tradycji Karkonoskich"" - TOURTEC","OP ČR - Polsko","ERDF",07/04/09,16040,,0,"Ongoing"
"Powiat Jeleniogórski","23082149
2","10 lat Powiatu - podsumowanie współpracy
transgranicznej - ""Teraźniejszość i przyszłość""","OP ČR - Polsko","ERDF",07/04/09,23197,,0,"Finalized"
"Powiat Jeleniogórski","23082149
2","Propagace turistických tradic Krkonoš a Jizerských
hor","OP ČR - Polsko","ERDF","25.06.2009",45221,,0,"Ongoing"
"Powiat Kłodzki","89071789
8","Cyklo Glacensis 2008","OP ČR - Polsko","ERDF",08/01/09,6042,,0,"Finalized"
"Powiat Kłodzki","89071789
8","Hrabstwo Kłodzkie na tle historii regionu i Europy
Środkowej - polsko - czeska konferencja
naukowa.","OP ČR - Polsko","ERDF","17.07.2009",17401,,0,"Ongoing"
"Powiat Kłodzki","89072123
3","Turystyczne Paszporty Hrabstwa Kłodzkiego -
otwarta droga na polsko-czeskie pogranicze.","OP ČR - Polsko","ERDF",02/03/09,27200,,0,"Ongoing"
"Powiat Kędzierzyńsko - Kozielski","53141220
8","Architektura pogranicza polsko - czeskiego
uwieczniona piórkiem","OP ČR - Polsko","ERDF","30.12.2009",6611,,0,"Ongoing"
"Powiat Kędzierzyńsko - Kozielski","53141220
8","Zdrowo - transgranicznie i sportowo","OP ČR - Polsko","ERDF","16.01.2009",29981,,0,"Finalized"
"Powiat Kędzierzyńsko-Kozielski","53141220
8","Czesko-Polski Festiwal Kultury - Kozielskie
Spotkania Muzyczne 2008","OP ČR - Polsko","ERDF",12/12/08,30000,,0,"Finalized"
"Powiat Kędzierzyńsko-Kozielski","53141220
8","Zatrzymać czas w przyszłości","OP ČR - Polsko","ERDF",08/06/09,11390,,0,"Finalized"
"Powiat Lwówecki","23082160
6","Kolejką Retro Na Dzień Dziecka 2009","OP ČR - Polsko","ERDF","15.09.2009",19625,,0,"Finalized"
"Powiat Lwówecki",23082606,"Promocja Euroregionu Nysa - Powiat Lwówecki /
Mikroregion Frydlantski","OP ČR - Polsko","ERDF","15.09.2009",28235,,0,"Ongoing"
"Powiat Lwówecki","23082160
6","Transgraniczna trasa rowerowa Lwówek Śląski -
Frydlant","OP ČR - Polsko","ERDF","15.09.2009",23222,,0,"Ongoing"
"Powiat Lwówecki","23082160
6","Łączy nas BÓBR","OP ČR - Polsko","ERDF","27.05.2010",15051,,0,"Ongoing"
"Powiat Nyski","53141257
9","Jeziora za góry, góry za jeziora - promocja
bezpiecznej turystyki w Euroregionie Pradziad","OP ČR - Polsko","ERDF",09/01/09,24693,,0,"Ongoing"
"Powiat Nyski","53141257
9","Pogranicze nysko-jesenickie w fotografii","OP ČR - Polsko","ERDF",09/01/09,26520,,0,"Ongoing"
"Powiat Nyski","53141257
9","Promocja turystyki pogranicza nysko-jesenickiego","OP ČR - Polsko","ERDF",12/12/08,29948,,0,"Ongoing"
"Powiat Nyski","53141257
9","Strategia rozwoju turystycznego i promocji
pogranicza nysko-jesenickiego na obszarze
powiatu nyskieg","OP ČR - Polsko","ERDF",08/06/09,25500,,0,"Ongoing"
"Powiat Nyski","53141257
9","Szlaki turystyczne pogranicza nysko - jesenickiego","OP ČR - Polsko","ERDF","25.01.2010",19869,,0,"Ongoing"
"Powiat Nyski","53141257
9","Wspólne dziedzictwo pogranicza nysko -
jesenickiego Euroregionu Pradziad","OP ČR - Polsko","ERDF",12/12/08,29481,,0,"Ongoing"
"Powiat Nyski","53141257
9","Zabytki sakralne pogranicza nysko-jesenickiego","OP ČR - Polsko","ERDF",12/12/08,24118,,0,"Ongoing"
"Powiat Nyski","53141257
9","Zdobądź szlak czarownic","OP ČR - Polsko","ERDF","22.06.2010",24101,,0,"Ongoing"
"Powiat Prudnicki","53141260
0","""Niepełnosprawni razem-transgraniczna szkoła
terapii ruchowej""","OP ČR - Polsko","ERDF","22.06.2010",17096,,0,"Ongoing"
"Powiat Prudnicki","53141260
0","""Wykorzystane szanse"" - 5 lat UE - 10 lat
Powiatu Prudnickiego i współpracy PL-Cz","OP ČR - Polsko","ERDF",09/06/09,29615,,0,"Ongoing"
"Powiat Prudnicki","53142102
9","Bezpieczne Pogranicze","OP ČR - Polsko","ERDF",09/06/09,3182,,0,"Finalized"
"Powiat Prudnicki","53141260
0","EUROREGIONALNA INTEGRACJA
SENIORÓW","OP ČR - Polsko","ERDF","22.06.2010",5939,,0,"Ongoing"
"Powiat Prudnicki","53141260
0","Europejska Promocja Turystyki Rowerowej Gór
Opawskich","OP ČR - Polsko","ERDF","21.12.2009",23261,,0,"Ongoing"
"Powiat Prudnicki","53141260
0","Euroregionalna Młodzieżowa Olimpiada Powiatu
Prudnickiego","OP ČR - Polsko","ERDF","21.12.2009",11987,,0,"Ongoing"
"Powiat Prudnicki","53141260
0","Navrácení přeshraniční funkce cesty
Prudník-Rýlovka na základě Schengenské
smlouvy","OP ČR - Polsko","ERDF","18.03.2009",2300653,,0,"Ongoing"
"Powiat Prudnicki","53142102
9","Pogranicze kultury","OP ČR - Polsko","ERDF",09/06/09,11386,,0,"Ongoing"
"Powiat Prudnicki","53141260
0","Přeshraniční cyklostezka Prudnik - Jindřichov jako
element cyklostezek Euroregionu Praděd","OP ČR - Polsko","ERDF","25.06.2009",733377,,0,"Ongoing"
"Powiat Prudnicki","53142102
9","Schengen w praktyce - współpraca drogowców
Powiatu Prudnickiego i Gminy Hlinka","OP ČR - Polsko","ERDF",12/12/08,30000,,0,"Finalized"
"Powiat Prudnicki","53142102
9","Stworzenie podstaw polsko - czeskiego
Euroregionalnego Centrum Kształcenia
Praktycznego Etap I","OP ČR - Polsko","ERDF",12/12/08,30000,,0,"Ongoing"
"Powiat Prudnicki","53142102
9","Tradycje Ludowe Pogranicza Polsko - Czeskiego","OP ČR - Polsko","ERDF",12/12/08,30000,,0,"Finalized"
"Powiat Pszczyński","27628471
0","Integracja na pograniczu - historia i sport ścieżką
do wzajemnego poznania","OP ČR - Polsko","ERDF",12/02/09,11445,,0,"Ongoing"
"Powiat Pszczyński","27628471
0","Polsko-czeskie warsztaty artystyczne","OP ČR - Polsko","ERDF","20.05.2010",5290,,0,"Ongoing"
"Powiat Pszczyński","27628471
0","Powiat Pszczyński w Euroregionie
Beskidy-działania promocyjne na pograniczu
polsko-czeskim","OP ČR - Polsko","ERDF",12/02/09,6689,,0,"Ongoing"
"Powiat Pszczyński","27628471
0","Słoneczny Tydzień Osób Niepełnosprawnych na
pograniczu polsko-czeskim","OP ČR - Polsko","ERDF",12/05/09,13355,,0,"Ongoing"
"Powiat Raciborski","27628509
8","Modernizace přeshraniční cesty v úseku
Tworkow-Děhylov","OP ČR - Polsko","ERDF",09/07/09,579067,,0,"Ongoing"
"Powiat Wodzisławski","27628500
0","Polsko - czeska wyprawa kulinarna w świat","OP ČR - Polsko","ERDF","18.02.2010",8099,,0,"Ongoing"
"Powiat Ząbkowicki","89071840
3","Integrovaný záchranný systém v příhraniční
oblasti - spolupráce a dovýbavení jednotek
požární ochrany","OP ČR - Polsko","ERDF","26.06.2009",565893,,0,"Ongoing"
"Powiat Ząbkowicki","89071840
3","Rychleby - Góry Złote, rozwój warunków
przedsiębiorczości i turystyki","OP ČR - Polsko","ERDF",05/01/09,26792,,0,"Finalized"
"Powiat Ząbkowicki","89071840
3","Transgraniczny szlak Królewny Marianny
Orańskiej - etap I (opracowania przygotowawcze)","OP ČR - Polsko","ERDF","16.03.2009",17077,,0,"Ongoing"
