Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
Sotsiaalministeerium,70001952,RiiklikudŸksused,Tššelu kvaliteedi parandamine 2009-2014,27 180 154,09.06.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.3.2 Tššelu kvaliteedi parandamine,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Riiklikud tegevused tššlesaamist toetavate n›ustamisteenuste arendamisel,8 274 980,28.02.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Puudega inimeste rehabilitatsioonisŸsteemi Ÿmberkujundamise toetamine tšštamist soodustavaks,3 718 165,28.02.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Sotsiaalministeeriumi juhtide ja poliitikakujundajate kompetentsimudeli vŠljatšštamine ja rakendamine,645 715,20.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Integreeritud hooldus-ja›endushooldussŸsteemi vŠljaarendamine hoolduskoormuse vŠhendamiseks,3 314 802,28.02.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952,RiiklikudŸksused,Sotsiaalministerium inimressursi OP TA 2010,600 000,25.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.6.1 Tehniline abi,ESF,Rahandusministeerium,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Kvaliteetsed ja innovaatilised teenused sotsiaalministeeriumis,208 972,09.05.2008 ... 19.12.2008,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Tššlesaamist toetavate hoolekandemeetmete programmi administratiivkulud,841 924,28.02.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Tššelu kvaliteedi parandamine 2007-2008,5 830 942,29.01.2008 ... 25.08.2009,†leriiklikud/maakondade vahelised projektid,1.3.2 Tššelu kvaliteedi parandamine,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001592,RiiklikudŸksused,Sotsiaalministeerium 2009 Inimres. OP TA,2 298 000,18.02.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.6.1 Tehniline abi,ESF,Rahandusministeerium,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Sotsiaalministeeriumi meeskonnajuhtide ametialase v›imekuse t›stmine lŠbirŠŠkimisoskuste arendamise kaudu,448 967,09.05.2008 ... 02.12.2009,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Kohaliku omavalitsuse tasandil hoolduskoormust vŠhendavate ja tšštamist toetavate teenuste arendamine,6 103 631,28.02.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Tššlesaamist toetavate hoolekandemeetmete programmi Ÿldised teavituskulud,88 507,28.02.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Sotsiaalministeeriumi k›neisikute kommunikatiivsete kompetentside arenguprogramm,406 529,20.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Soolise v›rd›iguslikkuse edendamine 2008-2010,6 800 000,15.12.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.3.5 Soolise v›rd›iguslikkuse edendamine,ESF,Sihtasutus INNOVE,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,"Sotsiaalministeeriumi hoolekande osakonna ametnike sta_eerimine Inglismaal sotsiaalteenuste kvaliteedi, standardite ning jŠrelevalve korraldamise alal",139 788,09.05.2008 ... 17.12.2008,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Soojusekspert O†,10808039,OsaŸhing,Arhitektuuri konserveerimise ja restaureerimise tŠiendkoolitus,15 000,16.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sonfrog O†,11513375,OsaŸhing,Finantsid Mittefinantsistidele,14 400,07.10.2009 ... 08.01.2010,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Solutions O†,11425665,OsaŸhing,Turvaportaal,4 400,01.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Solamerk O†,11537832,OsaŸhing,Sanitaartehniliste teenuste osutamine,46 452,16.06.2009 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Soha O†,10205938,OsaŸhing,KIIRELT TÍHUSAKS,3 800,12.10.2009 ... 27.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sofa4you O†,11538607,OsaŸhing,firma kasvustrateegia,15 000,01.10.2009 ... 29.01.2010,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SNP Projekt O†,11393557,OsaŸhing,Projekteerimise tarkvara soetamine,50 000,01.04.2008 ... ,LŠŠne maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Snekker O†,11376174,OsaŸhing,T›steseadmete soetamine,200 000,19.06.2008 ... ,P›lva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SMK Grupp O†,10124588,OsaŸhing,Kiirelt t›husaks,9 500,15.09.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Smitter O†,11878148,OsaŸhing,Finantsid mittefinantsistile,15 000,09.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SMARTLINK O†,10648908,OsaŸhing,ISO 9001:2008 standardi n›uetele vastava juhtimissŸsteemi loomine,48 000,29.04.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SmartDesign O†,11625007,OsaŸhing,Projekteerimiseks vajaliku riist- ja tarkvara soetamine,74 743,29.09.2009 ... 03.11.2009,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Slim Music O†,11409850,OsaŸhing,O† Slim Music,50 000,15.04.2008 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SKV Lihatššstus O†,11481824,OsaŸhing,KŸlmutatud poolfabrikaatide valmistamine lihast,200 000,29.10.2008 ... 11.12.2009,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Skratti O†,11530899,OsaŸhing,Merekaatri Rigel 510 (koos pŠramootoriga) soetamine elamusmatkade ja veetakso teenuse osutamiseks,100 000,15.09.2009 ... 15.02.2010,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Skamet O†,11135000,OsaŸhing,Skamet O† kvaliteedijuhtimissŸsteemi vŠljaarendamine,35 000,16.06.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SKA InseneribŸroo O†,11308244,OsaŸhing,ISO 9001:2008 standardi n›uetele vastava juhtimissŸsteemi loomine,36 000,17.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SIVO HOUSE O†,11161858,OsaŸhing,Ettev›tte tšštajate lŠbirŠŠkimisoskuste parandamine,14 800,02.11.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sivex International AS,10208011,Aktsiaselts,ETTEVÍTTE KVALITEEDIJUHTIMISS†STEEMI SISEAUDIITORITE KOOLITUS,14 200,30.10.2009 ... ,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sisustusrent O†,11451533,OsaŸhing,Arengun›ustamise programm Ÿldnimetajaga 'Mentor',15 000,15.09.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sissy Ilusalong O†,11740651,OsaŸhing,Sissy Ilusalongi rajamine,53 315,12.01.2010 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Siseministeerium,70000562,RiiklikudŸksused,Regionaalse pendelrŠndeuuringu lŠbiviimine,1 796 616,16.10.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Siseministeerium,70000562x,RiiklikudŸksused,"P›hja. LŠŠne, L›una ja Ida politseiprefektuuride ning Julgestuspolitsei politseiametnike ning P›hja, Kirde, Kagu ja LŠŠne piirivalvepiirkonna piirivalveametnike tasendus›ppe programm",1 615 000,26.11.2008 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Siseministeerium,70000562x,RiiklikudŸksused,"Uuring ""Esmaste kustutusvahendite eluruumides kohustusliku kasutamise m›jude hindamine""",200 340,27.11.2009 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Siseministeerium,70000562,RiiklikudŸksused,Eesti regioonide majandusstruktuuri muutuste prognoos,638 899,16.10.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Siseministeerium,70000562,RiiklikudŸksused,Valitsusasutuste kaasamisv›imekuse t›stmine,983 520,19.01.2010 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Siseministeerium,70000562,RiiklikudŸksused,Tulemusp›hise juhtimissŸsteemi arendamine,1 661 767,18.01.2010 ... ,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Sirkel&Mall O†,11124774,OsaŸhing,Revit Architecture jŠtkukursus,11 250,12.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sirje Tammiste KonsultatioonibŸroo O†,10443655,OsaŸhing,Osalemine EBS Koolituskeskuse ja PARE poolt korraldatavas 'Personalijuhi arenguprogrammis'.,15 000,08.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sinear O†,11496671,OsaŸhing,TŠnavakivide paigaldus,50 000,09.06.2009 ... 12.01.2010,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Simurg O†,10916349,OsaŸhing,RŠnnakumeetodi Praktikute Programm,62 885,11.11.2008 ... 09.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sim-Vekter O†,11482545,OsaŸhing,Mššbli valmistamine,50 000,26.02.2009 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sim-Stiil O†,11336134,OsaŸhing,Mššblitootja areng,200 000,07.05.2009 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Silverblue O†,11253081,OsaŸhing,ADR,11 024,23.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SILMET AS,10294959,Aktsiaselts,AS Silmet strateegia koostamine ja investeeringu tasuvusuuring,59 850,29.10.2008 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Silleka O†,11339012,OsaŸhing,Online-raamatupidamisteenuse juurutamine,10 858,08.12.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sille Poola FIE,11599187FIEKN096277,FŸŸsilisest isikust ettev›tja,Toitumisn›ustamine ja -teraapia,15 000,23.10.2009 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Siiri Veensalu FIE,11881386,FŸŸsilisest isikust ettev›tja,Waldorfpedagoogika alushariduses,10 000,11.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Siilipidu O†,11525674,OsaŸhing,Siilipidu,24 397,23.09.2008 ... 13.02.2009,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Siid ja samet O†,10734507,OsaŸhing,Koolitusosaku taotlemine,11 475,29.10.2009 ... ,LŠŠne-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sihtasutus Tartu Vaimse Tervise Hooldekeskus,90007431,Sihtasutus,PEHIT projekt- psŸŸhilise erivajadusega ning hoolduskoormusega isikute kompleksne aktiviseerimine Tartumaa kohalikes omavalitsustes,2 893 470,17.11.2009 ... ,Tartu maakond,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus Noored Kooli,90009312,Sihtasutus,ãÍpetaja kui liiderÒ koolitusmudel ja vilistlasprogramm kui alternatiivne v›imalus k›rgharidusega spetsialistide kaasamiseks hariduse edendamisse,1 577 996,22.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,"1.1.7 Kooli poolelijŠtmise vŠhendamine, haridusele juurdepŠŠsu suurendamine ning ›ppe kvaliteedi parandamine",ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus LŠŠnemaa Arenduskeskus,90000506,Sihtasutus,LŠŠnemaa tšštutele tššlesaamist toetavate n›ustamisteenuste osutamine,618 192,11.11.2009 ... ,LŠŠne maakond,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus INNOVE,90008287,Sihtasutus,Kutsehariduse populariseerimine,22 100 000,29.04.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.1.5 Kutse›ppe sisuline kaasajastamine ning kvaliteedi kindlustamine,ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus INNOVE,90008287,Sihtasutus,KarjŠŠriteenuste pakkumine,19 976 390,10.07.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.1.3 Teavitamis- ja n›ustamissŸsteemi arendamine,ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus INNOVE,90008287,Sihtasutus,KarjŠŠriteenuste sŸsteemi arendamine (koond),12 577 107,10.07.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.1.3 Teavitamis- ja n›ustamissŸsteemi arendamine,ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus Harju Ettev›tlus- ja Arenduskeskus,90000831,Sihtasutus,Koolitused ettev›tjale,36 495,22.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sihtasutus Eesti Lastefond (ELF),90000653,Sihtasutus,Tugistruktuurid hŸperaktiivsetele koolilastele,1 437 948,08.10.2009 ... ,†leriiklikud/maakondade vahelised projektid,"1.1.7 Kooli poolelijŠtmise vŠhendamine, haridusele juurdepŠŠsu suurendamine ning ›ppe kvaliteedi parandamine",ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus DHARMA,90006518,Sihtasutus,Koostšš = lahendused,2 997 000,04.11.2009 ... ,Maakondade koostššprojekt,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,"DoRa I (administreerimine; tegevused 1, 3-8 ja muud kulud)",354 830 000,08.10.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.2.2 Doktori›ppe ja rahvusvahelistumise edendamine,ESF,Sihtasutus Archimedes,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,"TeaMe I (administreerimine, tegevus 1 alategevused 1.1, 1.3, 1.4; tegevus 2)",45 737 646,11.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.2.5 Kohandumine teadmistep›hise majandusega,ESF,Sihtasutus Archimedes,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,"Kolmanda taseme›ppe kvaliteedi arendamise programm ""PRIMUS""",216 782 593,01.12.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.2.1 Teaduspoliitika ja k›rghariduse kvaliteedi arendamine,ESF,Sihtasutus Archimedes,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,Eesti k›rghariduse kvaliteedi arendamise programm EKKA,10 657 841,15.02.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.2.1 Teaduspoliitika ja k›rghariduse kvaliteedi arendamine,ESF,Sihtasutus Archimedes,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,"TeaMe II (tegevus 1, alategevus 1.2)",3 986 530,11.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.2.5 Kohandumine teadmistep›hise majandusega,ESF,Sihtasutus Archimedes,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,Eduko,76 000 000,06.03.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.2.3 Teadus- ja arendustegevuse ning innovatsiooni strateegia v›tmevaldkondade ja haridusteaduse eelisarendamine,ESF,Sihtasutus Archimedes,2007-2013
Sihtasutus Archimedes,80011561,Sihtasutus,DoRa II (tegevus 2),75 000 000,08.10.2008 ... ,†leriiklikud/maakondade vahelised projektid,1.2.2 Doktori›ppe ja rahvusvahelistumise edendamine,ESF,Sihtasutus Archimedes,2007-2013
Sigrid Parts FIE,11415968,FŸŸsilisest isikust ettev›tja,Giidikoolitused enesetŠienduseks ja edukaks tššturule naasmiseks.,15 000,09.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Siemens Osakeyhtiš Eesti filiaal,11712011,Aktsiaselts,Uue tarkvaralahenduse SAP Business All-in-One koolitus konsultandile,39 116,21.04.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sevorek O†,10099927,OsaŸhing,Arvutiga kiiremini ja kvaliteetsemalt,10 560,17.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SETOMAA VALDADE LIIT,80006577,MittetulundusŸhing,Setomaa kohalike omavalitsuste koolitusprogramm,73 100,30.12.2009 ... ,V›ru maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Sertifitseerimiskeskus AS,10747013,Aktsiaselts,Strateegilise juhtimise sŸsteemi loomine ja juurutus,214 885,07.04.2009 ... 01.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sergei Puhhov FIE,11720186,FŸŸsilisest isikust ettev›tja,"Kvalifikatsiooni t›stmise kursused keevitajatele (TIG-keevitus, kaitsegaasis)",14 750,15.01.2010 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Seremaro O†,11440794,OsaŸhing,Laste MŠngumaailma avamine,50 000,15.07.2008 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Seppik&Co O†,11099289,OsaŸhing,KODULEHT,4 600,05.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sepmar O†,11236929,OsaŸhing,Fassaadide remonditeenus,197 500,05.08.2008 ... 12.10.2009,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sepet Service O†,11496369,OsaŸhing,Kššgiseadmete soetamine,50 000,16.06.2009 ... 12.01.2010,Valga maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Selmet Graanul O†,11601620,OsaŸhing,Selmet Group O† puidugraanuli tootmise alustamine,100 000,25.11.2009 ... ,JŠrva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Self-II O†,10018969,OsaŸhing,Muudatuste konsulteerimine (Coaching and consulting for changes),263 885,04.11.2008 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Self-II O†,10018969,OsaŸhing,Arvuti›ppe koolitus,12 500,08.02.2010 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
