Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
Pipfrog AS ,11691711,Aktsiaselts ,Unikaalse toote intellektuaalse omandiõiguskaitse lahendamine ,50 000 ,27.10.2009 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
PimedateÖöde Filmifestival MTÜ ,80044767,Mittetulundusühing ,Tallinn PimedateÖöde filmiturg Black Market (Black Market Industry Screenings) ,810 000 ,01.09.2009 ...  ,Harju maakond ,3.1.10Ühisturunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pergo Hotels AS ,10033348,Aktsiaselts ,Pergo Hotels AS imago ja turundustaotlus ,300 417 ,28.04.2009 ...  ,Pärnu maakond ,3.1.5 Ettevõtja turismiturunduse toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pentamet OÜ ,10679139,Osaühing ,Pentamet OÜ seadmete soetamine tootmise efektiivsuse tõstmiseks ja tootevaliku laiendamiseks ,1 570 409 ,29.07.2009 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pelltech OÜ ,11259882,Osaühing ,Tupla ,1 027 000 ,26.08.2008 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Peetri Puit OÜ ,10626249,Osaühing ,Automaatne arvjuhitav mitmeteljeline töötlemiskeskus liimpuitkonstruktsioonide lõpptöötluseks ,3 288 915 ,31.12.2008 ...  ,Põlva maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Passiivmaja Infokeskus MTÜ ,80273321,Mittetulundusühing ,Passiivmaja infokeskus ,400 000 ,20.11.2008 ...  ,Harju maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Panaviatic AS ,11256731,Aktsiaselts ,Ekspordiplaan 2009-2010 ,1 500 000 ,19.11.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Panaviatic AS ,11256731,Aktsiaselts ,Välismessidel osalemine ,383 000 ,13.10.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Palupera Vallavalitsus ,75007586,Kohaliku omavalituseüksused ,Nõuni külaraamatukogu - küla infokeskuse - ehitamine ,4 187 170 ,05.02.2009 ... 26.10.2009 ,Valga maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Palmse Metall OÜ ,10830895,Osaühing ,"„Tugev oma toode“ (tootmisvõimsuse tõstmine, ekspordimahu kasv, jätkusuutlik ettevõte) ",2 390 424 ,29.07.2009 ...  ,Lääne-Viru maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Palmse Mehaanikakoda OÜ ,10229896,Osaühing ,Metsatehnika 2009 ,5 136 278 ,31.12.2008 ...  ,Lääne-Viru maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Palmako AS ,10301984,Aktsiaselts ,AS Palmako eksporditurunduse plaani elluviimine aastatel 2009-2011 ,2 450 000 ,11.08.2009 ...  ,Tartu maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Palktare OÜ ,10073371,Osaühing ,OÜ Palktare eksporditurunduse plaani elluviimine ,1 500 000 ,10.03.2009 ... 15.02.2010 ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paldiski Tsingipada AS ,11309048,Aktsiaselts ,Ettevõtte eksporditurundus ,1 342 500 ,31.12.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paldiski Tsingipada AS ,11309048,Aktsiaselts ,Kaasaegsel tehnoloogial põhineva kuumtsinkimistehase rajamine ,14 089 919 ,31.12.2008 ... 22.04.2009 ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Palamuse Vallavalitsus ,75003140,Kohaliku omavalituseüksused ,Palamuse Avatud Noortekeskuse ruumide renoveerimine ja laiendamine ,2 959 056 ,03.02.2009 ...  ,Jõgeva maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Palamuse Vallavalitsus ,75003140,Kohaliku omavalituseüksused ,Oskar Lutsu Palamuse Gümnaasiumi rekonstrueerimine ja juurdeehitus ,17 178 995 ,03.11.2009 ...  ,Jõgeva maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pakri Invest Haldus OÜ ,11578713,Osaühing ,Pakri Invest Haldus OÜ ekspordiplaani elluviimine 2009-2011. a ,2 500 000 ,20.10.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pakri Invest Haldus OÜ ,11578713,Osaühing ,Ujuvmajadest linna planeerimine Kalasatama piirkonnas Helsingis ,50 000 ,13.08.2009 ... 21.01.2010 ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pajo AS ,10248356,Aktsiaselts ,AS Pajoäriplaan ekspordi-ja konkurentsi-võimekuse tõstmiseks ,7 608 159 ,29.07.2009 ... 18.01.2010 ,Pärnu maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paikuse Vallavalitsus ,75001052,Kohaliku omavalituseüksused ,Paikuse valla ettevõtlusala juurdepääsuteede renoveerimine ,5 277 423 ,26.08.2008 ...  ,Pärnu maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paikuse Vallavalitsus ,75001052,Kohaliku omavalituseüksused ,Paikuse Põhikooli algklasside maja ehitamine ,11 339 515 ,13.02.2009 ... 21.11.2009 ,Pärnu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paide Masinatehas AS ,10450980,Aktsiaselts ,AS Paide Masinatehas tehnoloogiline investeering ,13 353 245 ,29.07.2009 ...  ,Järva maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paide Linnavalitsus ,75002436,Kohaliku omavalituseüksused ,Ajakeskus 'Wittenstein' rajamine Paide Vallimäele ,36 358 750 ,31.12.2008 ...  ,Järva maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Paide Linnavalitsus ,75002436,Kohaliku omavalituseüksused ,Järvamaa omavalitsuste DHS-i arendamine ,394 250 ,16.10.2009 ...  ,Järva maakond ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Paide Linnavalitsus ,75002436,Kohaliku omavalituseüksused ,Paide Avatud Noortekeskuse terviklik väljaarendamine ,8 018 122 ,09.06.2009 ... 28.12.2009 ,Järva maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Paide Linnavalitsus ,75002436,Kohaliku omavalituseüksused ,PAIDE GÜMNAASIUMI B-KORPUSE REKONSTRUEERIMINE ,16 997 756 ,16.09.2008 ...  ,Järva maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Padise Vallavalitsus ,75020167,Kohaliku omavalituseüksused ,Risti Põhikooli algklasside tiiva rekonstrueerimine ,4 536 234 ,08.09.2009 ... 10.12.2009 ,Harju maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
OÜ Vinni Biogaas ,11512714,Osaühing ,Vinni biogaasi koostootmisjaama rajamine ,17 293 600 ,16.11.2009 ...  ,Lääne-Viru maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Aia 3 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Kooli 6 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Kooli 8 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Aia 13 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Spordi 1 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Aia 11 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Metsa 4 ,5 000 ,17.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Kooli 10 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Kose mnt 40 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Kose 24 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Kose 14 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Aia 10 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Velko AV ,10348690,Osaühing ,KOÜ Laste 5 ,5 251 ,16.09.2009 ... 03.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Türi Linnavara ,10652436,Osaühing ,Türi linna Tehnika katlamaja kaugküttevõrgu osade rekonstrueerimine ,5 563 200 ,16.11.2009 ...  ,Järva maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Türi Elamu ,10522171,Osaühing ,KOÜ Kaare 28 Türi ,5 310 ,12.09.2008 ... 09.02.2009 ,Järva maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Tarkvara Tehnoloogia Arenduskeskus ,11672027,Osaühing ,Software Technology and Applications Competence Centre ,119 305 241 ,28.05.2009 ...  ,Tartu maakond ,3.1.9 Tehnoloogia arenduskeskuste toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
OÜ Tammiku Maja ,10317790,Osaühing ,KÜ Estonia pst 18A ,6 000 ,13.01.2010 ... 01.02.2010 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Pindi Kinnisvarahaldus ,10223416,Osaühing ,KÜ Toompuiestee 9a ,6 000 ,01.09.2009 ... 02.11.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Orissaare Soojus ,10122750,Aktsiaselts ,Orissaare katlamajaümberehitamine turbaküttelt hakkpuidu kütusele ,4 956 000 ,23.11.2009 ...  ,Saare maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Oisu Biogaas ,11515434,Osaühing ,Oisu biogaasi koostootmisjaama rajamine ,13 913 200 ,16.11.2009 ...  ,Järva maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Minu Vara ,11009530,Osaühing ,KOÜ Akadeemia tee 52 ,7 500 ,07.04.2009 ... 06.05.2009 ,Harju maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Mardi Maja ,10237252,Osaühing ,KOÜ Mahlamäe 8 ,6 000 ,10.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Mardi Maja ,10237252,Osaühing ,KOÜ Lepiku 15 ,6 000 ,10.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kuusalu Soojus ,10447914,Osaühing ,Kuusalu aleviku kaugkütte torustiku rekonstrueerimine ,2 008 000 ,16.11.2009 ...  ,Harju maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Kohila Maja ,10407814,Osaühing ,KOÜ Posti 8 ,5 000 ,14.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kohila Maja ,10407814,Osaühing ,KOÜ Kooli 9 ,5 000 ,14.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kohila Maja ,10407814,Osaühing ,KOÜ Raadiku 8 ,5 000 ,14.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kohila Maja ,10407814,Osaühing ,KOÜ Side 2 ,5 000 ,14.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kohila Maja ,10407814,Osaühing ,KOÜ Tööstuse 11 Kohila ,5 000 ,03.11.2009 ... 24.11.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kehtna Elamu ,10332654,Osaühing ,KOÜ Kooli 13 ,9 000 ,01.10.2009 ... 11.11.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kehtna Elamu ,10332654,Osaühing ,KOÜ Kooli 13 ,5 000 ,10.08.2009 ... 28.10.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kehtna Elamu ,10332654,Osaühing ,KOÜ Hertu 2 ,3 000 ,03.09.2008 ... 09.02.2009 ,Rapla maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kaldatare ,10034164,Osaühing ,KÜ Kaunase pst. 25 ,6 450 ,08.04.2009 ... 12.05.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kaldatare ,10034164,Osaühing ,KÜ Anne 80 ,8 450 ,23.04.2009 ... 02.06.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Kaldatare ,10034164,Osaühing ,KÜ Anne 86 ,7 450 ,09.06.2009 ... 13.07.2009 ,Tartu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Elamu Teenused ,11290395,Osaühing ,KOÜ Kerese 8 ,12 500 ,11.11.2009 ... 29.12.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
OÜ Cambi ,10240934,Osaühing ,Kambja aleviku kaugküttetorustiku rekonstrueerimine ,2 247 255 ,16.11.2009 ...  ,Tartu maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Aseri Kommunaal ,10294913,Osaühing ,Aseri aleviku tsentraalse soojustrassi renoveerimine ,2 831 860 ,16.11.2009 ...  ,Ida-Viru maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OÜ Ahtme Maja ,10061209,Osaühing ,KÜ Tervise 8A ,8 000 ,07.10.2008 ... 09.02.2009 ,Ida-Viru maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Otepää Vallavalitsus ,75001566,Kohaliku omavalituseüksused ,Otepää Turismiinfokeskuse infotehnoloogia ,219 985 ,03.11.2009 ... 30.12.2009 ,Valga maakond ,3.1.18 Turismiinfo jaotuskanalite toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Otepää Vallavalitsus ,75001566,Kohaliku omavalituseüksused ,Otepää Gümnaasiumi peahoone rekonstrueerimine ,15 287 336 ,22.10.2009 ...  ,Valga maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Oskando OÜ ,10503340,Osaühing ,Sõidukite ja seadmete jälgmis- ja kaugjuhtimislahendused ,2 500 000 ,13.10.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Oskando OÜ ,10503340,Osaühing ,Järgmise põlvkonna sõidukipargi haldussüsteemi eeluuring ,300 000 ,05.05.2009 ... 28.10.2009 ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Osherel OÜ ,11575057,Osaühing ,Arvutiseeritud kognitiiv-käitumislik teraapia ,100 000 ,11.02.2010 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
osaühing Müomeetria ,10533818,Osaühing ,Myoton Lite tooteperekonna mõõtmismeetodi ja -tehnoloogia väljatöötamine ,12 240 822 ,08.01.2009 ...  ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
osaühing Müomeetria ,10533818,Osaühing ,"MYOTONI VIIMINE USA, PRANTSUSMAA JA SOOME SIHTTURGUDELE ",1 498 500 ,16.12.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Osaühing Dr. Aino Rulli Hambaravi ,10817073,Osaühing ,Elektripaigaldise elektrikontrollmõõdistused ,50 000 ,09.02.2010 ...  ,Viljandi maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Osaühing Delux ,10341245,Osaühing ,Parem töökeskkond ettevõttes Delux Oü ,50 000 ,28.01.2010 ...  ,Viljandi maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Osaühing Delux ,10341245,Osaühing ,Välismessidel:Heimtextil 2010 ja Stockholmi mööblimess 2010 osalemine eksponendina ,316 000 ,29.12.2009 ...  ,Viljandi maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Orissaare Vallavalitsus ,75020718,Kohaliku omavalituseüksused ,Orissaare Avatud Noortekeskuse rajamine ,8 870 045 ,02.04.2009 ...  ,Saare maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Orgita Dolomiiditooted OÜ ,10713994,Osaühing ,Ekspordituru laiendus ,54 067 ,29.12.2009 ...  ,Rapla maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Orava Vallavalitsus ,75027005,Kohaliku omavalituseüksused ,Piusa koobastiku looduskaitsealale multifunktsionaalse külastuskeskuse rajamine ,18 539 197 ,30.04.2009 ...  ,Põlva maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Oniar OÜ ,10936116,Osaühing ,Keevitusroboti soetamine ,866 195 ,31.12.2008 ...  ,Rapla maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Olustvere Teenindus- ja Maamajanduskool ,70002555,Riiklikudüksused ,Olustvere mõisakompleksi kui turismiobjekti väljaarendamine ning selle kasutusvõimaluste laiendamine ,2 155 024 ,19.05.2009 ...  ,Viljandi maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Olustvere Teenindus- ja Maamajanduskool ,70002555,Riiklikudüksused ,Olustvere Teenindus- ja Maamajanduskooli toiduainete tehnoloogia praktilise väljaõppe õppebaasi ehitus ning olemasolevate ruumide renoveerimine ja seadmete sisustamine ,48 284 080 ,05.12.2008 ...  ,Viljandi maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
