Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
DR. HANS BODENDORFER WIRTSCHAFTSPRÜFUNGS- UND STEUERBERATUNGSGES.M.B.H,Qualifizierung für Beschäftigte,367,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HANS-MORITZ POTT  RECHTSANWALT,Qualifizierung für Beschäftigte,705,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HARALD PLOY,Qualifizierung für Beschäftigte,416,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HARPF/DR. WEINRAUCH OEG,Qualifizierung für Beschäftigte,"4,146",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HAUSER GMBH,Qualifizierung für Beschäftigte,"2,633",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HEDWIG BRUNNER  FACHARZT FÜR AUGENHEILKUNDE,Qualifizierung für Beschäftigte,661,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HEIDRUN HÖFINGER-DIETL,Qualifizierung für Beschäftigte,"1,553",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HEINZ LEONHARTSBERGER,Qualifizierung für Beschäftigte,243,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HELGA STESSL,Qualifizierung für Beschäftigte,173,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HELMUT HORWATH,Gesundheit/Pflege,487,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HELMUT HORWATH,Qualifizierung für Beschäftigte,"1,298",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HERMANN WILHELMER,Qualifizierung für Beschäftigte,600,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. HETSCH, DR. PAULINZ",Qualifizierung für Beschäftigte,291,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HORST HINTERBERGER,Qualifizierung für Beschäftigte,702,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HÜTTMAYR ANTON,Qualifizierung für Beschäftigte,740,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. INGOMAR KITTL,Qualifizierung für Beschäftigte,662,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. JACKOB BARNEA,Qualifizierung für Beschäftigte,498,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. JAHL,Gesundheit/Pflege,630,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. JAKOB SCHMALZLBUCHPRÜFUNGS- U.STEUERBERATUNGSGMBH,Qualifizierung für Beschäftigte,387,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. JAN ANDRLE,Qualifizierung für Beschäftigte,"1,133",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. JANOUT HELMUT,Qualifizierung für Beschäftigte,"2,100",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. JOHANN SCHLÖGL,Qualifizierung für Beschäftigte,292,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KAINRATH & KNAPP WIRTSCHAFTSTREUHAND GMBH,Qualifizierung für Beschäftigte,335,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KARIN AIGNER  FACHARZT FÜR ZAHN- U. KIEFERHEILKUN,Qualifizierung für Beschäftigte,"8,425",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KARL J. PISEC EXPORT - IMPORT GMBH,Qualifizierung für Beschäftigte,"1,867",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. KEBER, DR. STEINER  PRAXISGEMEINSCHAFT",Qualifizierung für Beschäftigte,322,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KIETREIBER MARKUS,Qualifizierung für Beschäftigte,387,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KLAUS ANGERMAYR,Qualifizierung für Beschäftigte,268,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KLAUS HAFNER  WP UND STEUERBERATUNG GMBH,Qualifizierung für Beschäftigte,496,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KLAUS KESSLER KG,Qualifizierung für Beschäftigte,"2,889",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KLAUS PERKTOLD,Qualifizierung für Beschäftigte,463,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KLAUS-STERNWIESER & DR. TISCHBERGER OEG,Qualifizierung für Beschäftigte,"2,461",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KLOTZINGER-HÖLL,Qualifizierung für Beschäftigte,"3,147",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KONRAD HÖCK,Qualifizierung für Beschäftigte,"1,107",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KONRAD URANITSCH,Qualifizierung für Beschäftigte,658,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. KRITZINGER KLAUS,Qualifizierung für Beschäftigte,"1,447",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. KÖNIG, DR. ERMACORA, DR. LÄSSER",Qualifizierung für Beschäftigte,"1,987",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LAMPL PETER,Qualifizierung für Beschäftigte,167,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LECHNER/DR. PFURTSCHELLER,Qualifizierung für Beschäftigte,440,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LEISCH JOACHIM,Qualifizierung für Beschäftigte,"2,550",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LEIXNER WILFRIED,Qualifizierung für Beschäftigte,987,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LEOPOLD PERFLER,Qualifizierung für Beschäftigte,"1,158",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LUCIA MONSCHEIN-OBWEGESER,Qualifizierung für Beschäftigte,"2,303",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. LUDWIG KIRNER DR. HARALD GRUBER PARTNERSCHAFT,Qualifizierung für Beschäftigte,193,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MANFRED BUCHMÜLLER GMBH,Qualifizierung für Beschäftigte,375,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARCZEWSKI LIDIA,Qualifizierung für Beschäftigte,"3,554",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MAREK BUCZKOWSKI,Qualifizierung für Beschäftigte,359,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARGIT POPP,Qualifizierung für Beschäftigte,"1,367",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARHOLD  IMMOBILIENVERWALTUNG GMBH,Qualifizierung für Beschäftigte,787,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARIA DINES,Qualifizierung für Beschäftigte,669,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARIO MANDL,Qualifizierung für Beschäftigte,480,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARKLER EVA,Qualifizierung für Beschäftigte,375,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARKUS KNOLL,Qualifizierung für Beschäftigte,527,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARKUS KRALL,Qualifizierung für Beschäftigte,"1,133",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MARTHA HARTMANN,Qualifizierung für Beschäftigte,167,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MATHIAS KRÄNZL,Qualifizierung für Beschäftigte,672,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MAYRHOFER GERHARD,Qualifizierung für Beschäftigte,195,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED. HEIDE HENNINGER,Qualifizierung für Beschäftigte,"3,984",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED. JOSEF RUMPLER  ZAHNARZT,Qualifizierung für Beschäftigte,"7,077",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED. PETER KIRCHLER,Qualifizierung für Beschäftigte,"9,003",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED. PETER ZIMMERMANN,Qualifizierung für Beschäftigte,"1,107",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED. UNIV. OBERLEITNER HANS,Gesundheit/Pflege,"2,093",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED. WALTER BACHLECHNER,Qualifizierung für Beschäftigte,"1,107",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MED.KENDA GISELA FA F.KINDER- U. JUGENDHEILKUNDE,Qualifizierung für Beschäftigte,297,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MEIßNER U. DR. BÜRKH  KINDERZAHNORDINATION,Qualifizierung für Beschäftigte,"1,173",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MICHAEL FRICK,Qualifizierung für Beschäftigte,319,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MICHAEL GAMBS,Qualifizierung für Beschäftigte,450,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MICHAEL LARCHERPRAKT.ARZT,Qualifizierung für Beschäftigte,922,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. MICHAEL LASSNIG FACHARZT FÜR ZAHN-, MUND- UND KIEFERHEILKUNDE",Qualifizierung für Beschäftigte,220,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MICHAEL LIPPERT,Qualifizierung für Beschäftigte,"2,576",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MICHAEL PIRKER,Qualifizierung für Beschäftigte,617,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MICHAEL SABA,Qualifizierung für Beschäftigte,407,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. MICHAEL SCHNEDITZ-BOLFRAS, DR. FRITZ VIERTHALER,  DR. CHRISTOPH MIZELLI",Qualifizierung für Beschäftigte,760,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MIRKOWITSCH SINIS,Qualifizierung für Beschäftigte,227,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MIRO URLICIC,Qualifizierung für Beschäftigte,"1,892",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MONIKA REICHENAUER,Qualifizierung für Beschäftigte,329,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. MONS FISCHER - FACHARZT FÜR UROLOGIE,Qualifizierung für Beschäftigte,338,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. OETKER GMBH,Qualifizierung für Beschäftigte,"3,300",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ORTNER ROSWITHA,Qualifizierung für Beschäftigte,"1,307",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. PEITHNER KG, NUNMEHR GMBH & CO",Qualifizierung für Beschäftigte,955,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PETER DOBIDA  & PROF. CHRISTOF PERTL,Qualifizierung für Beschäftigte,807,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PETER KUTTNER,Qualifizierung für Beschäftigte,"1,567",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PETER LENGYEL,Qualifizierung für Beschäftigte,"3,187",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PETER WOLFSGRUBER,Qualifizierung für Beschäftigte,"2,640",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PETER WOLFWIRTSCHAFTSPRÜFUNGS- UND STEUERBERATUNG,Qualifizierung für Beschäftigte,"2,985",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PETER WUTTE,Qualifizierung für Beschäftigte,682,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. PIRIBAUER GMBH,Qualifizierung für Beschäftigte,"11,093",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. POPPER-PREINING CHRISTINE,Qualifizierung für Beschäftigte,333,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. RAABE MODESTO,Gesundheit/Pflege,"1,580",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. RAINER BIOWSKI,Qualifizierung für Beschäftigte,391,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. REINHARD KNOFLACH,Qualifizierung für Beschäftigte,319,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. REISINGER & PARTNER  WIRTSCHAFTSPRÜFUNGS UND STEUERBERATUNGS GMBH & CO KG,Qualifizierung für Beschäftigte,677,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. RENE GREGOR,Qualifizierung für Beschäftigte,610,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
